EnvType,Agent,NumActive,Seed,ValError,SamplesWastedInactive,SamplesWastedNoisy,MasteredLearnable,FalseMastery,FalseBlocked,UsedHiddenValidation
OOD_Hard,OracleBestRegion,3,4426,0.005823107599039886,0,47,2,0,0,True
OOD_Hard,OracleBestRegion,10,5578,0.07494136839940284,0,31,7,0,0,True
OOD_Hard,OracleBestRegion,8,8322,0.016821541114482325,0,89,6,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,9,7270,0.00721909719413471,0,0,9,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,10,860,0.006724297863037514,0,0,10,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,4,5390,0.0020610981919616245,0,0,4,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,8,5191,0.0008105214338181902,0,0,8,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,9,5734,0.008008464554625984,0,0,9,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,9,6265,0.0029805279063789833,0,0,9,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,7,466,0.0038648263205563515,0,0,7,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,3,4426,0.0014955672139161066,0,0,3,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,10,5578,0.004301721333369488,0,0,10,0,0,True
OOD_Hard,PPO_SetPolicy_Phase4B,8,8322,0.006864338070602248,0,0,8,0,0,True
OOD_Hard,PPO_SetPolicy_NoValObs,9,7270,0.002939834170346107,0,0,9,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,10,860,0.0023919281396385522,0,0,10,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,4,5390,0.0024809603190303316,0,0,4,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,8,5191,0.002100886195148515,0,0,8,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,9,5734,0.004807341832870767,0,0,9,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,9,6265,0.006040905641627471,0,0,9,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,7,466,0.009440994621095728,0,0,7,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,3,4426,0.0005105005927561456,0,0,3,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,10,5578,0.0076649056377351655,0,0,10,0,0,False
OOD_Hard,PPO_SetPolicy_NoValObs,8,8322,0.005003226841225122,0,0,8,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,9,7270,0.9560635963646786,0,0,3,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,10,860,1.3977669283238343,0,0,3,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,4,5390,0.00159807716618005,0,0,4,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,8,5191,0.565709077667827,0,0,3,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,9,5734,1.5037585499292014,0,0,5,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,9,6265,0.6962794297808814,0,0,3,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,7,466,1.2708118041738616,0,0,3,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,3,4426,0.0005165154184387748,0,0,3,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,10,5578,1.2316875309247268,0,0,2,0,0,False
OOD_Hard,PPO_FlatMLP_NoValObs,8,8322,1.594407528258451,0,0,2,0,0,False
