Agent,Budget,Condition,Seed,Region,Family,IsActive,IsNoisy,ValError,NumSamples,Status
MasteryGatedHypothesis,50,Mixed,5191,0,piecewise_linear,True,False,0.027510214128582105,3,learning
MasteryGatedHypothesis,50,Mixed,5191,1,piecewise_linear,True,False,0.05958622148472007,4,learning
MasteryGatedHypothesis,50,Mixed,5191,2,piecewise_linear,True,False,0.46691037975080746,4,learning
MasteryGatedHypothesis,50,Mixed,5191,3,noisy_unlearnable,True,True,0.7685938222722689,5,learning
MasteryGatedHypothesis,50,Mixed,5191,4,piecewise_linear,True,False,0.05282037683187891,13,learning
MasteryGatedHypothesis,50,Mixed,5191,5,linear,True,False,0.021203804809312495,17,learning
MasteryGatedHypothesis,50,Mixed,5191,6,cubic,True,False,0.1756560063359166,2,learning
MasteryGatedHypothesis,50,Mixed,5191,7,noisy_unlearnable,True,True,2.0937862727327063,2,learning
MasteryGatedHypothesis,50,Mixed,5734,0,sine,True,False,1.8947006251967284,5,learning
MasteryGatedHypothesis,50,Mixed,5734,1,sine,True,False,0.567944916091779,4,learning
MasteryGatedHypothesis,50,Mixed,5734,2,noisy_unlearnable,True,True,1.952152414786261,10,learning
MasteryGatedHypothesis,50,Mixed,5734,3,piecewise_linear,True,False,0.43154877536689573,10,learning
MasteryGatedHypothesis,50,Mixed,5734,4,noisy_unlearnable,True,True,1.559369816341681,7,learning
MasteryGatedHypothesis,50,Mixed,5734,5,noisy_unlearnable,True,True,0.5418519081676307,5,learning
MasteryGatedHypothesis,50,Mixed,5734,6,quadratic,True,False,0.9827021823111574,3,learning
MasteryGatedHypothesis,50,Mixed,5734,7,cubic,True,False,0.12236792407803108,4,learning
MasteryGatedHypothesis,50,Mixed,5734,8,sine,True,False,0.39157102523037324,2,learning
OracleBestRegion,50,Mixed,7270,0,linear,True,False,0.011500843608991916,7,learning
OracleBestRegion,50,Mixed,7270,1,cubic,True,False,0.11100053841082717,6,learning
OracleBestRegion,50,Mixed,7270,2,piecewise_linear,True,False,0.0811184043479899,3,learning
OracleBestRegion,50,Mixed,7270,3,sine,True,False,0.08830339733561891,6,learning
OracleBestRegion,50,Mixed,7270,4,piecewise_linear,True,False,0.05701903988749038,2,learning
OracleBestRegion,50,Mixed,7270,5,sine,True,False,1.0201540348568492,4,learning
OracleBestRegion,50,Mixed,7270,6,cubic,True,False,0.15333545204112098,5,learning
OracleBestRegion,50,Mixed,7270,7,quadratic,True,False,0.026888050696334095,12,learning
OracleBestRegion,50,Mixed,7270,8,quadratic,True,False,0.10988788879106547,5,learning
OracleBestRegion,50,Mixed,860,0,piecewise_linear,True,False,0.08615665815560822,5,learning
OracleBestRegion,50,Mixed,860,1,piecewise_linear,True,False,0.08767528338385759,5,learning
OracleBestRegion,50,Mixed,860,2,sine,True,False,1.5758091522377358,5,learning
