Env,Agent,Seed,ActiveRegions,ValError,SamplesWastedInactive,SamplesWastedNoisy,MasteredLearnable,FalseMastery,FalseBlocked
OOD_Hard,PPO_FlatMLP,5,8,0.9745225555364352,0,20,1,0,0
OOD_Hard,PPO_FlatMLP,6,6,1.8706041651222225,0,2,1,0,0
OOD_Hard,PPO_FlatMLP,7,10,0.8280843199270215,0,3,1,0,0
OOD_Hard,PPO_FlatMLP,8,8,0.2993254015655003,0,1,1,0,0
OOD_Hard,PPO_FlatMLP,9,6,0.3540294901751782,0,26,1,0,0
OOD_Hard,PPO_SetPolicy,0,9,0.0024457887214644498,0,111,8,1,0
OOD_Hard,PPO_SetPolicy,1,6,0.0019822160109570133,0,334,4,2,0
OOD_Hard,PPO_SetPolicy,2,9,0.00306866459172501,0,222,7,2,0
OOD_Hard,PPO_SetPolicy,3,9,0.005573682052431295,0,111,8,1,0
OOD_Hard,PPO_SetPolicy,4,8,0.0027905105819233536,0,125,7,1,0
OOD_Hard,PPO_SetPolicy,5,8,0.001232383359661371,0,375,5,3,0
OOD_Hard,PPO_SetPolicy,6,6,0.00610455933939597,0,166,5,1,0
OOD_Hard,PPO_SetPolicy,7,10,0.007480986587682935,0,300,7,3,0
OOD_Hard,PPO_SetPolicy,8,8,0.0023146681644586244,0,250,6,2,0
OOD_Hard,PPO_SetPolicy,9,6,0.008986004035752504,0,333,4,2,0
